ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-09-29T02:04:55Z,Windows 10 (10.0.18363; x64; AppX),237203,CL,45.71.44.54,Rescue Me,Marshmello,Rescue Me,spotify:track:5dLP5JbgWGZttnUv4NFJeg,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-09-29T02:07:53Z,Windows 10 (10.0.18363; x64; AppX),177000,CL,45.71.44.54,HUMBLE.,Kendrick Lamar,DAMN.,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-09-29T02:11:27Z,Windows 10 (10.0.18363; x64; AppX),214226,CL,45.71.44.54,Empty Space,James Arthur,Empty Space,spotify:track:1uru26I2JKd2mQZt0MDCUe,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-09-29T02:15:47Z,Windows 10 (10.0.18363; x64; AppX),259375,CL,45.71.44.54,Red Side of the Moon,Trixie Mattel,One Stone,spotify:track:4T6TlxzYI4I9iZu3sJMuil,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-09-29T02:19:22Z,Windows 10 (10.0.18363; x64; AppX),214289,CL,45.71.44.54,Happier,Marshmello,Happier,spotify:track:2dpaYNEQHiRxtZbfNsse99,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-09-29T02:23:34Z,Windows 10 (10.0.18363; x64; AppX),251280,CL,45.71.44.54,Cough Syrup (Glee Cast Version),Glee Cast,"Glee: The Music, The Complete Season Three",spotify:track:7LqfLfRDpJQkr5LHtPMLql,,,,,,,,trackdone,trackdone,false,false,false,,false
2020-09-29T02:24:06Z,Windows 10 (10.0.18363; x64; AppX),26150,CL,45.71.44.54,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,Lie To Me (feat. Julia Michaels),spotify:track:6GzApXoBQiiAjak3tOQfV3,,,,,,,,appload,endplay,false,false,false,,false
2020-09-29T02:24:30Z,Windows 10 (10.0.18363; x64; AppX),23800,CL,45.71.44.54,Video Games,Trixie Mattel,Video Games,spotify:track:6GE4fcrDAF5hF170xMzxq8,,,,,,,,playbtn,endplay,false,false,false,,false
2020-09-29T02:42:03Z,Windows 10 (10.0.18363; x64; AppX),225882,CL,45.71.44.54,Video Games,Trixie Mattel,Video Games,spotify:track:6GE4fcrDAF5hF170xMzxq8,,,,,,,,clickrow,trackdone,false,false,false,,false
2020-09-29T02:43:53Z,Windows 10 (10.0.18363; x64; AppX),108607,CL,45.71.44.54,Heathens,Twenty One Pilots,Heathens,spotify:track:6i0V12jOa3mr6uu4WYhUBr,,,,,,,,trackdone,fwdbtn,true,false,false,,false
2020-09-29T02:44:07Z,Windows 10 (10.0.18363; x64; AppX),13640,CL,45.71.44.54,Sherane a.k.a Master Splinter’s Daughter,Kendrick Lamar,"good kid, m.A.A.d city",spotify:track:5FF6Pyuh5jW6ybKHiaiGMy,,,,,,,,fwdbtn,fwdbtn,true,false,false,,false
2020-09-29T02:44:14Z,Windows 10 (10.0.18363; x64; AppX),5500,CL,45.71.44.54,Seasons (with Sjava & Reason),Mozzy,Black Panther The Album Music From And Inspired By,spotify:track:35cOyocq8Gb6UcT0NWeTwn,,,,,,,,fwdbtn,fwdbtn,true,false,false,,false
2020-09-29T02:44:16Z,Windows 10 (10.0.18363; x64; AppX),2030,CL,45.71.44.54,Marine Parade (2013),James Arthur,YOU,spotify:track:47VVUjQjinjqZOrwE1XgRl,,,,,,,,fwdbtn,fwdbtn,true,false,false,,false
2020-09-29T02:47:39Z,Windows 10 (10.0.18363; x64; AppX),204000,CL,45.71.44.54,Sk8er Boi,Avril Lavigne,Let Go,spotify:track:00Mb3DuaIH1kjrwOku9CGU,,,,,,,,fwdbtn,trackdone,true,false,false,,false
2020-09-29T02:51:23Z,Windows 10 (10.0.18363; x64; AppX),223523,CL,45.71.44.54,Never Really Over,Katy Perry,Never Really Over,spotify:track:5PYQUBXc7NYeI1obMKSJK0,,,,,,,,trackdone,trackdone,true,false,false,,false
2020-09-29T02:51:29Z,Windows 10 (10.0.18363; x64; AppX),4056,CL,45.71.44.54,Mal Progreso,Culto Reggae,Amor del Bueno,spotify:track:7BaoXo94509AYWNf0EtnUm,,,,,,,,trackdone,fwdbtn,true,false,false,,false
2020-09-29T02:51:33Z,Windows 10 (10.0.18363; x64; AppX),4260,CL,45.71.44.54,Make It Hot,Major Lazer,Make It Hot,spotify:track:3MH4Qwn0qcUvzzqKSLdcnd,,,,,,,,fwdbtn,fwdbtn,true,false,false,,false
